Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,356,Chocolate Granulé Ao Leite *Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,Cecotti,400g,UN,"0,4",,,,
15/06/2025 16:06:54,357,Chocolate Granulé Ao Leite *Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,Coppa,400g,UN,"0,4",,,,
15/06/2025 16:06:54,358,Chocolate Granulé  Ao Leite * Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,F Martins,400gr,UN,"0,4",,,,
15/06/2025 16:06:54,359,Chocolate Granulé Ao Leite *Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,Harald,12x400gr,UN,"4,8",,,,
15/06/2025 16:06:54,360,Chocolate Granulé Ao Leite *Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,MixPan,400g,UN,"0,4",,,,
15/06/2025 16:06:54,361,Chocolate Granulé Ao Leite *Harald*,Chocolate Granulé Ao Leite *Harald*,Confeitaria,Riberfoods,1kg,UN,"0,4",,,,
15/06/2025 16:06:54,362,Cobertura de Limão (Sorvete) *Selecta*,Cobertura de Limão (Sorvete) *Selecta*,Confeitaria,Riberfoods,400gr,UN,1,,,,
15/06/2025 16:06:54,363,Cobertura de Limão (Sorvete) *Selecta*,Cobertura de Limão (Sorvete) *Selecta*,Confeitaria,Sorpan,"1,300gr",UN,"1,3",,,,
15/06/2025 16:06:54,365,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,Cecotti,1Kg,UN,01.05,,,,
15/06/2025 16:06:54,366,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,Coppa,1Kg,UN,02.05,,,,
15/06/2025 16:06:54,367,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,Harald,5x2kg,UN,10.25,,,,
15/06/2025 16:06:54,368,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,MixPan,2.1kg,UN,02.05,,,,
15/06/2025 16:06:54,369,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,Riberfoods,1kg,UN,02.05,,,,
15/06/2025 16:06:54,370,Cobertura Top Ao Leite Moeda *Harald*,Cobertura Top Ao Leite Moeda *Harald*,Confeitaria,Sorpan,1KG,UN,01.05,,,,
15/06/2025 16:06:54,372,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,Cecotti,1Kg,UN,"1,05",,,,
15/06/2025 16:06:54,373,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,Coppa,1Kg,UN,"2,05",,,,
15/06/2025 16:06:54,374,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,Harald,5x2kg,UN,10,,,,
15/06/2025 16:06:54,375,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,MixPan,2.1kg,Un,"2,05",,,,
15/06/2025 16:06:54,376,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,Riberfoods,2KG,UN,2,,,,
15/06/2025 16:06:54,377,Cobertura Top Branca Moeda *Harald*,Cobertura Top Branca Moeda *Harald*,Confeitaria,Sorpan,1,Un,"1,05",,,,
15/06/2025 16:06:54,379,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,Cecotti,1Kg,UN,"1,05",,,,
15/06/2025 16:06:54,380,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,Coppa,2kg,UN,"2,05",,,,
15/06/2025 16:06:54,381,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,Harald,5x2kg,UN,10,,,,
15/06/2025 16:06:54,382,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,MixPan,2.05kg,UN,"2,05",,,,
15/06/2025 16:06:54,383,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,Riberfoods,2KG,UN,2,,,,
15/06/2025 16:06:54,384,Cobertura Top Meio Amargo Moeda *Harald*,Cobertura Top Meio Amargo Moeda *Harald*,Confeitaria,Sorpan,1kg,UN,"1,05",,,,
